Word,Match Type,Language,Type,Severity,Substring Match,Language,Type,Severity,Substring Match,...
swag boy 09,not_exact,,,,swag,en,Disney,none
tacocatsoilder21,not_exact,,,,taco,en,Disney,none
Capricorn1963,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
ja6rPNLNI7rp,not_exact,,,,ln,en,Disney,none
TANKYSWAG,not_exact,,,,swag,en,Disney,none
python53,not_exact,,,,python,en,Disney,none
beauty_in_chiniquee,not_exact,,,,niq,en,Bigotry-Racism;Microsoft;Vulgarity,high
starliteswag123,not_exact,,,,swag,en,Disney,none
pepaskull,not_exact,,,,pas,en,Disney,none
Jo Crocker,not_exact,,,,rocker,en,Disney,none
dvdln,not_exact,,,,ln,en,Disney,none
swagger boy1234,not_exact,,,,swag,en,Disney,none
NegaSonic100,not_exact,,,,neg,en,Disney,none
mariana_the_swagger,not_exact,,,,swag,en,Disney,none
pandasanta24,not_exact,,,,panda,en,Disney,none
ritacoelho2001,not_exact,,,,taco,en,Disney,none
bronwyn1967,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
carmen1975,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
swag monste,not_exact,,,,swag,en,Disney,none
Swagg1209,not_exact,,,,swag,en,Disney,none
ChloePandaPop,not_exact,,,,panda,en,Disney,none
swaggboy62,not_exact,,,,swag,en,Disney,none
angelnoe,not_exact,,,,ln,en,Disney,none
diznyvilln,not_exact,,,,ln,en,Disney,none
Kian199,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
Creative coolness,not_exact,,,,ln,en,Disney,none
esayswag1233,not_exact,,,,swag,en,Disney,none
nanaspanda,not_exact,,,,panda,en,Disney,none
IgoHardsswagg23,not_exact,,,,swag,en,Disney,none
PrestonSwaggar13,not_exact,,,,swag,en,Disney,none
swagboy1468,not_exact,,,,swag,en,Disney,none
neilner1911,not_exact,,,,ln,en,Disney,none
passaro789,not_exact,,,,pas,en,Disney,none
passaro876,not_exact,,,,pas,en,Disney,none
Jrlntc,not_exact,,,,ln,en,Disney,none
swagyoda,not_exact,,,,swag,en,Disney,none
mr.swag,not_exact,,,,swag,en,Disney,none
coaklne1,not_exact,,,,ln,en,Disney,none
RoCioPasCa4l,not_exact,,,,pas,en,Disney,none
dawon wit da swag,not_exact,,,,swag,en,Disney,none
kaykayswag5,not_exact,,,,swag,en,Disney,none
insaneguy,not_exact,,,,neg,en,Disney,none
tacoboy6302,not_exact,,,,taco,en,Disney,none
cody da swag,not_exact,,,,swag,en,Disney,none
animehentai,not_exact,,,,meh,en,Disney,none
Bagnull138,not_exact,,,,null,en,Disney,none
MichaelNightmare,not_exact,,,,ln,en,Disney,none
MrEpicMann1900,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
manuelnnn,not_exact,,,,ln,en,Disney,none
juliRocker1,not_exact,,,,rocker,en,Disney,none
Dolphin192889,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
swaggyaddie03,not_exact,,,,swag,en,Disney,none
Str8Focus,not_exact,,,,foc,en,Vulgarity,high
Talnor Dragonis,not_exact,,,,ln,en,Disney,none
dean1995,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
Karin1983,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
EpicslimeJack,not_exact,,,,ejac,en,Grooming;Microsoft;Sexual,high
melnikov,not_exact,,,,ln,en,Disney,none
HaileyGotSwag,not_exact,,,,swag,en,Disney,none
nbctpasco,not_exact,,,,pas,en,Disney,none
Hoskin1998,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
rocker9810,not_exact,,,,rocker,en,Disney,none
juanpasu,not_exact,,,,pas,en,Disney,none
swaggbad24,not_exact,,,,swag,en,Disney,none
tacomaa124,not_exact,,,,taco,en,Disney,none
Jasmine.is.here,not_exact,,,,.is,en,Disney,none
Kwan1959,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
Shawn1973,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
pukich XD,not_exact,,,,puki,en,Disney,none
Shipman1997,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
Tefita.swag.JB,not_exact,,,,swag,en,Disney,none
swaggerman,not_exact,,,,swag,en,Disney,none
Moniquen_123,not_exact,,,,niq,en,Bigotry-Racism;Microsoft;Vulgarity,high
awesomehero12345,not_exact,,,,meh,en,Disney,none
roman199914,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
Tayswag_inc,not_exact,,,,swag,en,Disney,none
