text,locale,variations,tags,severity,adjective,adverb,collapseDoubles,filterMode,noun,replacePhonetics,verb,definition,entryIgnores
acabemos,es,acabemos;acabemos adentro;acabemos juntos,Sexual,medium,false,false,false,embeddable,false,false,true,,
acariciar,es,acariaciame,Sexual,medium,false,false,true,embeddable,false,true,true,,
acc and pss,en,,Account;Disney;PII,medium,false,false,false,embeddable,false,false,false,account and password,
acc and pw,en,,Account;Disney;PII,medium,false,false,true,embeddable,false,true,false,account and password,
account,en,accout;acct;acount,Account;PII,medium,false,false,true,embeddable,true,true,false,,act
account info,en,accout info;acct info;acount info,Account;PII,medium,false,false,true,embeddable,false,true,false,,
accouple,fr,,Sexual,medium,true,true,true,embeddable,true,true,true,,
ace book,en,,Disney;PII,medium,false,false,true,embeddable,false,true,false,Facebook,
ace hall,en,,Disney;Vulgarity,medium,false,false,true,embeddable,false,true,false,asshole,
ace up,en,,Disney;Sexual,medium,false,false,true,embeddable,false,true,false,ass up,
ace whole,en,,Disney;Vulgarity,medium,false,false,true,embeddable,false,true,false,asshole,
acender,pt,acendeu;acendi,Alcohol-Drug,mild,false,false,true,exactMatch,false,true,true,,
ache hunt,en,,Disney;Sexual;Vulgarity,medium,false,false,true,embeddable,false,true,false,a cunt,
acid,de,,Alcohol-Drug,medium,false,false,true,embeddable,true,true,false,,
acid,en,acidhead,Alcohol-Drug,medium,false,false,true,nonEmbeddable,true,true,false,"1. A hallucinogenic drug.
2. Someone who abuses the drug acid.",
acima de seu,pt,,Vulgarity,medium,false,false,true,embeddable,false,true,false,,
acosar,es,,Bullying;Sexual,medium,false,false,true,embeddable,false,true,true,,
acosta,es,,Names-Last,medium,false,false,false,embeddable,false,false,false,,
across your,en,,Disney;Sexual,mild,false,false,false,embeddable,false,false,false,,
acuña,es,,Names-Last,medium,false,false,false,embeddable,false,false,false,,
adair,es,,Places,medium,false,false,false,nonEmbeddable,false,false,false,Ciudad de Missouri.,
adak,es,,Places,medium,false,false,false,nonEmbeddable,false,false,false,Ciudad de Alaska.,
adams,es,,Names-Last,medium,false,false,false,embeddable,false,false,false,,
add dess,en,,Disney;PII,medium,false,false,false,embeddable,false,false,false,,
add me to im,en,add me 2 im,PII,medium,false,false,true,embeddable,false,true,false,,
add rest,en,,Disney;PII,medium,false,false,true,embeddable,false,true,false,address,
addict,en,,Alcohol-Drug,medium,false,false,true,embeddable,true,true,true,"Noun
Someone who uses drugs without the ability to stop.
Verb
To take drugs without the ability to stop.",
addiction,en,,Alcohol-Drug,medium,false,false,true,embeddable,true,true,false,To be addicted to something.,
addictive,en,,Alcohol-Drug,mild,true,false,true,embeddable,false,true,false,When something causes an addiction,
address,en,addres;addy;adr;adress,PII,medium,false,false,false,embeddable,false,false,false,,
addresse,no,,PII,severe,false,false,false,embeddable,true,false,false,address,
adjuntas,es,,Places,medium,false,false,false,nonEmbeddable,false,false,false,City in Puerto Rico,
adolf,de,adolph,Bigotry-Racism,medium,false,false,true,embeddable,true,true,false,,
adolf hitler,en,adolf;hitler;hitlr,Bigotry-Racism,medium,false,false,true,embeddable,true,true,false,"Adolf Hilter, the leader of the Germans during WW2.",
adopt,en,,Disney,mild,false,false,true,nonEmbeddable,true,true,true,,
adoptivnitte,da,,Bullying,high,false,false,false,embeddable,true,true,false,derogative term for asian person,
adresse,da,,Grooming,high,false,false,true,embeddable,true,true,false,address,
adresse,de,,PII,medium,false,false,true,embeddable,true,true,false,,
adresse,fr,,PII,medium,true,true,false,nonEmbeddable,true,false,true,,
adult books,en,,Disney;Sexual,medium,false,false,true,embeddable,false,true,false,,
adult fun,en,,Disney;Sexual,medium,false,false,true,embeddable,false,true,false,,
adult magazine,en,,Disney;Sexual,medium,false,false,true,embeddable,false,true,false,,
adult site,en,,Disney;Sexual,medium,false,false,true,embeddable,false,true,false,,
adult toy,en,,Disney;Sexual,medium,false,false,true,embeddable,false,true,false,,
adulterer,en,adulteress;adulteries,Sexual,medium,false,false,true,embeddable,true,true,false,Someone who has sexual relations with someone other than their wife/husband.,eerie
adulterio,es,adulterar;adultero,Sexual,medium,false,false,true,embeddable,false,true,true,,
adulterous,en,,Sexual,medium,true,false,true,embeddable,false,true,false,Someone who has sexual relations with someone other than their wife/husband.,
adulterously,en,,Sexual,medium,false,true,true,embeddable,false,true,false,Someone who has sexual relations with someone other than their wife/husband.,
adultery,en,adulterise;adulterize,Sexual,medium,false,false,true,embeddable,false,true,true,To have sexual relations with someone other than your wife/husband.,
adults only,en,,Disney;Sexual,medium,false,false,true,embeddable,false,true,false,,
adultère,fr,,Sexual,medium,true,true,true,embeddable,true,true,true,,
adventiste,fr,,Bigotry-Racism,medium,true,true,true,embeddable,true,true,true,,
affair,en,affaire,Grooming;Sexual,medium,false,false,true,embeddable,true,true,false,To have sexual relations with someone other than your wife/husband.,
affanculo,it,,Vulgarity,severe,false,false,true,nonEmbeddable,false,true,false,Expression: Fuck it all!,
affære,da,,Grooming;Sexual,medium,false,false,true,embeddable,true,true,false,affair,
afføring,da,,Vulgarity,high,false,false,true,embeddable,true,true,false,excrement,
afhængig,da,afhængighed,Alcohol-Drug,mild,true,false,false,embeddable,false,true,false,dependency,
afilar,es,,Disney;Weapons,mild,false,false,true,embeddable,false,true,false,to sharppen,
afk in,en,,Disney;Vulgarity,medium,false,false,true,embeddable,false,true,false,,
afoga o ganso,pt,,Sexual,medium,false,false,true,embeddable,false,true,true,,
afogar,pt,,Sexual;Violence,medium,false,false,true,embeddable,false,true,true,,
africain,fr,,Bigotry-Racism,medium,true,true,true,nonEmbeddable,true,true,true,,
afrodisíaco,pt,,Sexual,medium,true,false,true,embeddable,false,true,false,,
afskum,da,,Bullying,mild,true,false,false,embeddable,false,true,false,human garbage; scumbag,
afsuntning,da,,Microsoft,medium,false,false,false,embeddable,false,false,true,,
afsutning,da,,Bullying,high,false,false,true,exactMatch,true,true,false,afsutning,
after,de,,Sexual,medium,false,false,true,embeddable,true,true,false,,
after cool,en,,Disney,none,false,false,true,embeddable,false,true,false,,
after kissing your,en,,Disney;Sexual,medium,false,false,false,embeddable,false,false,false,,
after placing my,en,,Disney;Sexual,medium,false,false,true,embeddable,false,true,false,,
aftrekken,nl,,Vulgarity,high,false,false,true,nonEmbeddable,false,true,true,Jerk off,
afvænding,da,,Alcohol-Drug,mild,false,false,false,embeddable,true,true,false,rehab,
again i love,en,,Disney;Sexual,mild,false,false,true,embeddable,false,true,false,,
against the poll,en,,Disney;Sexual,medium,false,false,true,embeddable,false,true,false,,
against u,en,,Bullying;Disney;Sexual,mild,false,false,true,embeddable,false,true,false,,
against ur,en,,Disney;Sexual,medium,false,false,true,embeddable,false,true,false,,
against your,en,,Disney,medium,false,false,true,embeddable,false,true,false,,
age,en,,Grooming,medium,false,false,true,nonEmbeddable,true,true,false,,age of ultron
age of ultron,en,,Ignore Phrases,none,false,false,false,embeddable,false,false,false,,
agregar,es,agregué,PII,medium,false,false,false,embeddable,false,false,true,,
aguada,es,,Places,medium,false,false,false,nonEmbeddable,false,false,false,City in Puerto Rico,
aguadilla,es,,Places,medium,false,false,false,nonEmbeddable,false,false,false,City in Puerto Rico,
aguas buenas,es,,Places,medium,false,false,false,nonEmbeddable,false,false,false,City in Puerto Rico,
aguascalientes,es,,Places,medium,false,false,false,nonEmbeddable,false,false,false,City in México,
aguilar,es,,Names-Last,medium,false,false,false,embeddable,false,false,false,,
