text,locale,variations,tags,severity,adjective,adverb,collapseDoubles,filterMode,noun,replacePhonetics,verb,definition,entryIgnores
sisimite, es, ario;arrivista;asshole;balurdo;bastardo;bebota;befa;bitch;blade;blenorrea;bobita;bobito;bode;bofe;boludito;borrero;bostero;braguetero;broca;bruto;buey;bugarrón;cabrado;cacreca;cafiche;cagado;cagueta;cagón;calato;carechimba;castrado;cerda;cerdo;cerote;chacha;chacho;chafalote;chaira;chancha;chanchita;chancho;chcuhumeca;chichona;chimar;chirrete;chirri;chivo;chocote;cholo;choncha;choncho;chopo;choro;chucha;chucho;chuchumeca;chuco;chumino;chunchurria;chupete;cipotón;cochón;colero;comemierda;corroncho;descojono;desgraciado;desmadrado;dot;dxk;déspota;enano;escoria;estúpido;fachita;fea;felpudita;feo;firro;fofa;fofo;fregado;frijolero;fuck;fundillo;gabacho;gamin;garnufia;gigolo;golli;golly;gonochachurria;gonochanchurria;gorda;gordo;gorsovia;greengo;gringo;guaca;guache;guacho;guanajo;guano;guevon;herofilo;hinchapelotas;hocicón;huacha;huachos;huevada;iguazo;imbecil;inepto;infradotado;inga tu;insultar;insultos;jaina;lambehuevos;lamehuevos;lechera;lechero;lechona;lechón;limada;lujuria;lujurioso;maldito;malnacida;malnacido;maniaco;marrano;marranoa;menso;mocha;mocho;mocoso;moro;naca;nalgas;negro;nigger;ogt;ouerco;pacaya;papanatas;pargo;partes nobles;pashpa;pechoca;pelotudo;pepa;perverso;pesquesuda;petiso;pichurria;piojoso;piricuaro;pirula;pisto;pitaya;plebe;pocho;pogo;potorro;puerca;puerco;punga;putón;puñetero;rata;retrasado;rosquero;shit;sinfiate;sisimite;sorcho;soreco;soreta;sorete;soretear;suato;subnormal;sucia;síndrome de down;tayudo;tetona;tolete;tonta;tontita;tontito;tonto;troncho;trunco;tungo;turro;uache;uacho;vergajo;wache;wey;wogg;yegua;yesco;zopenco;zorrón;ñanga;ñero, Bullying;Microsoft, medium, false, false, true, embeddable, true, true, true, , echo;orro;syndrome;síndrome;tonto
spack, de, spacken, Vulgarity, medium, false, false, true, embeddable, true, true, false, 
deadwood, es, , Places, medium, false, false, false, exactMatch, false, false, false, Ciudad de Dakota del Sur.
нехер, ru, , Microsoft, medium, false, false, true, embeddable, false, true, false, 
おむつぷれい, ja, omutsupurei;おむつプレイ;オムツプレイ, Microsoft;Sexual;Vulgarity, severe, false, false, true, embeddable, false, true, false, diaper role play (Type of SM play)
musa, no, musa, Sexual, mild, false, false, false, embeddable, true, false, false, mouse;cunt
psychopat, no, psyko;psykopat, Vulgarity, severe, false, false, false, embeddable, true, false, false, psychopath
tafha, ar, tafeh;tafha;tafhat;tafheen;تافهات;تافهة;تافهين, Vulgarity, medium, false, false, false, embeddable, false, false, false, when you tell someone he is nothing.
sráč, cs, , Microsoft, medium, false, false, true, embeddable, false, true, false, 
cammello, it, ciospo, Sexual, medium, false, false, true, nonEmbeddable, true, true, false, Ugly boy or girl
rehobeth, es, , Places, medium, false, false, false, nonEmbeddable, false, false, false, Ciudad de Alabama.
タケノコ医者, ja, takenokoisha;たけのこ医者 ;タケノコイシャ;タケノコ医者, Bigotry-Racism, high, false, false, true, embeddable, false, true, false, very bad doctor; quack; derogatory
baises, fr, baise;baises;baisé, Microsoft;Sexual, medium, true, true, true, embeddable, true, true, true, 
baiser, fr, baise;baises;baisé, Microsoft;Sexual, medium, true, true, true, embeddable, true, true, true, 
kakushinhan, ja, kakushinhan;かくしんはん;カクシンハン, Bigotry-Racism, high, false, false, true, embeddable, false, true, false, crime of conscience; derogatory
svin, no, , Bullying, medium, false, false, false, embeddable, true, false, false, swine
hollins, es, , Places, medium, false, false, false, nonEmbeddable, false, false, false, Ciudad de Alabama.
spade, da, , Bullying, mild, false, false, false, embeddable, true, true, false, fool
jpg, da, gif;jpg;png, Grooming;PII, medium, false, false, false, embeddable, true, true, false, image files
chikisho, ja, chikisho;ちきしょ;ちきしょう;チキショウ, Microsoft;Vulgarity, medium, false, false, true, embeddable, false, true, false, Damn it (swearword)
pepeca, pt, , Sexual, medium, true, false, true, embeddable, true, true, false, 
suger, no, suger;sugning, Microsoft;Sexual, high, false, false, false, embeddable, false, false, true, to suck
mierdao, es, mierdao;mierdha;mierdota, Disney;Microsoft, medium, false, false, true, embeddable, true, true, false, 
kjønn, no, kjønnet, Sexual, high, false, false, false, embeddable, true, false, false, gender and genitalia
сциш, ru, ссыт;ссыш;сциш;сцык;сцыт;сцыш;сык;сыш, Microsoft;Vulgarity, severe, false, true, true, embeddable, false, true, false, 
røvhullet, da, , Microsoft, medium, false, false, true, embeddable, false, true, false, 
røvhuller, da, , Microsoft, medium, false, false, true, embeddable, false, true, false, 
duerme, es, duerme;durmiendo;durmió, Sexual, medium, false, false, true, embeddable, false, true, true, 
chichotas, es, bochas;breva;bubis;cañaguagua;chicches;chicharrón;chiche;chicherio;chichi;chichis;chichotas;cocos;domingas;gemelas;gomas;limones;lolas;mancha;manchas;melones;naranjas;pecho;pechuga;pechugas;pelotones;pezones;pezón;repisas;seno, Microsoft;Sexual, medium, false, false, true, embeddable, true, true, false, , echo
fåk, da, fuking;fukking;fåk;fåking, Vulgarity, high, false, true, false, embeddable, false, true, false, fucking
jii, ja, jii;じい;ジイ, Microsoft;Sexual;Vulgarity, medium, false, false, true, embeddable, false, true, false, masturbation
bradford, es, , Places, medium, false, false, false, nonEmbeddable, false, false, false, Ciudad de Rhode Island.
satanás, pt, , Bullying, medium, false, false, true, embeddable, true, true, false, 
barbere, da, barbere, Grooming;Sexual, medium, false, false, false, embeddable, false, true, true, shave
でんどうコケシ, ja, dendou kokeshi;でんどうコケシ;デンドウこけし;デンドウコケシ;電動こけし;電動コケシ, Sexual, high, false, false, true, embeddable, false, true, false, " Vibrator"
とさつ, ja, tosatsu;とさつ;トサツ, Bigotry-Racism, high, false, false, true, embeddable, false, true, false, butcher (verb); derogatory
チンバ, ja, chinba;ちんば;チンバ;跛足, Bigotry-Racism, high, false, false, true, embeddable, false, true, false, Cripple; derogatory
口を慎みなさい, ja, , Microsoft, medium, false, false, true, embeddable, false, true, false, 
skjøge, no, skjøge, Microsoft;Sexual;Vulgarity, medium, false, false, false, embeddable, true, true, false, Whore
vail, es, , Places, medium, false, false, false, nonEmbeddable, false, false, false, Ciudad de Arizona.
goshen, es, , Places, medium, false, false, false, nonEmbeddable, false, false, false, Ciudad de Alabama.
mula, da, , Vulgarity, medium, false, false, false, nonEmbeddable, true, true, false, derogatory term for Middle Eastern person
えんこづめ, ja, enkodume;エンコづめ;エンコヅメ, Threats, high, false, false, true, embeddable, false, true, false, finger-cutting; gangstar slang
痴漢行為を行う, ja, chikankoui;ちかんこうい;チカンコウイ;痴漢行為を行う, Microsoft;Sexual;Vulgarity, severe, false, false, true, embeddable, false, true, false, molestation; geek behavior?
grabschender, de, grabschender;grapschender;grapschänder, Sexual;Vulgarity, medium, false, false, true, embeddable, true, true, false, 
チンゲ, ja, chinge;ちんげ;チンゲ;チン毛, Microsoft;Sexual;Vulgarity, high, false, false, true, embeddable, false, true, false, pubic hair (men); chinke
jævlene, no, jævlene, Microsoft, medium, false, false, false, embeddable, false, true, false, 
チンコ, ja, chinko;チンコ, Microsoft;Sexual;Vulgarity, severe, false, false, true, embeddable, false, true, false, Penis; colloquial but not vulgar; Slang
neubau, de, , PII, medium, false, false, true, embeddable, true, true, false, 
trolita, es, , Disney, medium, true, false, true, embeddable, false, true, false, 
fodinha, pt, fodao;fodasa;fodaso;fodassimo;fodidao;fodidinha;fodidinho;fodidoes;fodidona;fodinha;fodoes, Disney;Microsoft, high, false, false, true, embeddable, true, true, false, 
watson, es, , Names-Last, medium, false, false, false, embeddable, false, false, false, 
ポリ公, ja, porikou;ポリコウ;ポリ公, Vulgarity, medium, false, false, true, embeddable, false, true, false, police man; gangstar slang
チンボ, ja, chinbo;timbo;tinbo;チンボ, Microsoft;Sexual;Vulgarity, high, false, false, true, embeddable, false, true, false, Penis; timbo
チンポ, ja, chinpo;チンポ, Microsoft;Sexual;Vulgarity, severe, false, false, true, embeddable, false, true, false, Cock; Dick
