Word,Match Type,Language,Type,Severity,Substring Match,Language,Type,Severity,Substring Match,...
flutydog ,not_exact,,,,dog,en,Vulgarity,mild
MouseHouse514,not_exact,,,,house,en,PII,mild
adayton485,not_exact,,,,ay,en,Disney,mild
Kelly62273,not_exact,,,,kell,en,Bullying,mild
Mick-Ghees,not_exact,,,,ck,en,Disney,mild,ees,en,Alcohol-Drug,mild
mickeynut674,not_exact,,,,nut,en,Vulgarity,mild,ck,en,Disney,mild
Slugbriggs,not_exact,,,,lug,en,Vulgarity,mild
poppalarge,not_exact,,,,pal,en,Grooming,mild
Voodoo Monkey,not_exact,,,,monkey,en,Vulgarity,mild
jray2544,not_exact,,,,ay,en,Disney,mild
AnalogKid,not_exact,,,,ana,en,Sexual,mild
tool6996,not_exact,,,,tool,en,Vulgarity,mild
minniemickey1212,not_exact,,,,ck,en,Disney,mild
SlinkyDogStyle,not_exact,,,,dog,en,Vulgarity,mild,slinky,en,Sexual,mild
ShallowThinker,not_exact,,,,wth,en,Vulgarity,mild
Halloweentown Princess,not_exact,,,,ween,en,Sexual,mild
AIShooter73,not_exact,,,,hoo,en,Vulgarity,mild
BillMackintosh,not_exact,,,,ck,en,Disney,mild
joerocks25,not_exact,,,,ck,en,Disney,mild
marvelmuppet,not_exact,,,,muppet,en,Vulgarity,mild
jbmindtrick,not_exact,,,,ck,en,Disney,mild
Colinbuddy5,not_exact,,,,bud,en,Alcohol-Drug,mild
martinibuilt42,not_exact,,,,martini,en,Alcohol-Drug,mild
Alex,not_exact,,,,ale,en,Alcohol-Drug,mild
MonkeyFTL,not_exact,,,,monkey,en,Vulgarity,mild
jayla,not_exact,,,,ay,en,Disney,mild
Nihote528,not_exact,,,,hot,en,Sexual,mild
alexpiderman,not_exact,,,,ale,en,Alcohol-Drug,mild
farmgirle1917,not_exact,,,,irl,en,Grooming;PII,mild
luckycricket91,not_exact,,,,ck,en,Disney,mild
PrincessRayne,not_exact,,,,ay,en,Disney,mild
babybfan72,not_exact,,,,baby,en,Grooming,mild
saleh1124,not_exact,,,,ale,en,Alcohol-Drug,mild
Kaye,not_exact,,,,ay,en,Disney,mild
steampunk,not_exact,,,,punk,en,Vulgarity,mild
kinikelle,not_exact,,,,kell,en,Bullying,mild
x-drums,not_exact,,,,rum,en,Alcohol-Drug,mild
Lucky-101,not_exact,,,,ck,en,Disney,mild
Funhouse,not_exact,,,,house,en,PII,mild
ckiener,not_exact,,,,ck,en,Disney,mild
zippy,not_exact,,,,zip,en,PII,mild
Discgolfjay,not_exact,,,,ay,en,Disney,mild
Redbard6,not_exact,,,,bar,en,Bullying,mild
jayh,not_exact,,,,ay,en,Disney,mild
Chuckers611,not_exact,,,,ck,en,Disney,mild
hayye,not_exact,,,,ay,en,Disney,mild
Ariana2811,not_exact,,,,ana,en,Sexual,mild
rubalmp,not_exact,,,,rub,en,Sexual,mild
kaytee22,not_exact,,,,ay,en,Disney,mild
Mickle,not_exact,,,,ck,en,Disney,mild
rick,not_exact,,,,ck,en,Disney,mild
Clayhanger,not_exact,,,,ay,en,Disney,mild
Wayne,not_exact,,,,ay,en,Disney,mild
3 Speed,not_exact,,,,pee,en,Vulgarity,mild
alusitana,not_exact,,,,ana,en,Sexual,mild
Cooganator,not_exact,,,,ana,en,Sexual,mild
WeRock06,not_exact,,,,ck,en,Disney,mild
Sailormonkey,not_exact,,,,monkey,en,Vulgarity,mild
Aleyah,not_exact,,,,ale,en,Alcohol-Drug,mild
darthlaker,not_exact,,,,dart,en,Alcohol-Drug,mild
AliciaTheQueen,not_exact,,,,lic,en,Sexual,mild
Maya008,not_exact,,,,ay,en,Disney,mild
alice 6a,not_exact,,,,lic,en,Sexual,mild
Babyghosts,not_exact,,,,baby,en,Grooming,mild
PriWilly,not_exact,,,,willy,en,Sexual,mild
Monical Mayhem,not_exact,,,,ay,en,Disney,mild
minegzm,not_exact,,,,neg,en,Disney,none
willym1955,not_exact,,,,willy,en,Sexual,mild
sebasibarguen,not_exact,,,,bar,en,Bullying,mild
saherfatima,not_exact,,,,fat,en,Bullying,mild
saintnick,not_exact,,,,ck,en,Disney,mild
vanderteles,not_exact,,,,tele,en,PII,mild
jrphoenix12,not_exact,,,,hoe,en,Bullying;Sexual,mild
YodaFan19283,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
Ellen/Nana,not_exact,,,,ana,en,Sexual,mild,ellen,en,Vulgarity,mild
r0ckurs0ul,not_exact,,,,ck,en,Disney,mild
Daddytuck,not_exact,,,,ck,en,Disney,mild
ClownShoe,not_exact,,,,hoe,en,Bullying;Sexual,mild
JackSkellington1990,not_exact,,,,kell,en,Bullying,mild,n19,en,Bigotry-Racism;Vulgarity,high,ck,en,Disney,mild
