Word,Match Type,Language,Type,Severity,Substring Match,Language,Type,Severity,Substring Match,...
���goldnuts1,not_exact,,,,nut,en,Vulgarity,mild,nuts,en,Sexual,mild
Bomberleen,not_exact,,,,bomb,en,Harm-Abuse;Threats,mild,bom,en,Harm-Abuse;Threats,mild
bthrussell,not_exact,,,,sse,en,Disney;Sexual,mild
epic_mickey_2,not_exact,,,,ck,en,Disney,mild
Andreguin19,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
jacklynsam,not_exact,,,,ck,en,Disney,mild
BLOODYJRG,not_exact,,,,blood,en,Violence,mild
jmrisse,not_exact,,,,sse,en,Disney;Sexual,mild
zackswager,not_exact,,,,ck,en,Disney,mild,swag,en,Disney,none
dx22santi,not_exact,,,,anti,en,Disney,mild
PequenaSapecaa,not_exact,,,,sap,en,Vulgarity,mild
McEachron_Household,not_exact,,,,house,en,PII,mild
deathshroud11,not_exact,,,,death,en,Harm-Abuse,mild
lilredneck,not_exact,,,,ck,en,Disney,mild
AlexGaldino,not_exact,,,,ale,en,Alcohol-Drug,mild
AmandaHugsandKisses,not_exact,,,,sse,en,Disney;Sexual,mild,kiss,en,Grooming;Sexual,mild
palocoronic,not_exact,,,,pal,en,Grooming,mild
Anakin87157,not_exact,,,,ana,en,Sexual,mild
MsAngelicaSparrow,not_exact,,,,lic,en,Sexual,mild
thiagosales,not_exact,,,,ale,en,Alcohol-Drug,mild
BruceWayne,not_exact,,,,ay,en,Disney,mild
axe2,not_exact,,,,axe,en,Violence,mild
alexdino1,not_exact,,,,ale,en,Alcohol-Drug,mild
killir2000,not_exact,,,,kil,en,Bullying,mild,kill,en,Bullying,mild
MorganaReis,not_exact,,,,ana,en,Sexual,mild
Nickynoo,not_exact,,,,ck,en,Disney,mild
CindieLeigh,not_exact,,,,die,en,Disney;Harm-Abuse;Threats,mild
antinette,not_exact,,,,anti,en,Disney,mild
anais,not_exact,,,,ana,en,Sexual,mild
mickey,not_exact,,,,ck,en,Disney,mild
panda,exact,en,Disney,none
Rubens,not_exact,,,,rub,en,Sexual,mild
Akilina,not_exact,,,,kil,en,Bullying,mild
alejandra,not_exact,,,,ale,en,Alcohol-Drug,mild
stocky,not_exact,,,,ck,en,Disney,mild
Anastasia,not_exact,,,,ana,en,Sexual,mild
deathnote,not_exact,,,,death,en,Harm-Abuse,mild
dick,not_exact,,,,ck,en,Disney,mild
alerrandro,not_exact,,,,ale,en,Alcohol-Drug,mild
giusseppecm,not_exact,,,,sse,en,Disney;Sexual,mild
bbdxmafia,not_exact,,,,mafia,en,Violence,mild
DeaDOmY,not_exact,,,,dead,en,Disney;Harm-Abuse;Threats,mild
valethiago,not_exact,,,,ale,en,Alcohol-Drug,mild
Ana_Luiza,not_exact,,,,ana,en,Sexual,mild
BloodBath24,not_exact,,,,blood,en,Violence,mild
jayden,not_exact,,,,ay,en,Disney,mild
herryballswag01,not_exact,,,,swag,en,Disney,none
AlexJamesBurt,not_exact,,,,ale,en,Alcohol-Drug,mild
Salem,not_exact,,,,ale,en,Alcohol-Drug,mild
rayrice,not_exact,,,,ay,en,Disney,mild
lucas_granate,not_exact,,,,ana,en,Sexual,mild
dianarosemary,not_exact,,,,ana,en,Sexual,mild
AlessandroBraun,not_exact,,,,ale,en,Alcohol-Drug,mild
Jackmiggy,not_exact,,,,ck,en,Disney,mild
felixgonzalez,not_exact,,,,ale,en,Alcohol-Drug,mild
Skylar_monique,not_exact,,,,niq,en,Bigotry-Racism;Microsoft;Vulgarity,high
