text,locale,variations,tags,severity,adjective,adverb,collapseDoubles,filterMode,noun,replacePhonetics,verb,definition,entryIgnores
#NAME?,en,,AsciiArt;Sexual,medium,FALSE,FALSE,TRUE,exactMatch,FALSE,TRUE,FALSE,,
?'n iger,en,,Bigotry-Racism;Disney,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
[.],en,,AsciiArt;Disney;Sexual,medium,FALSE,FALSE,TRUE,exactMatch,FALSE,TRUE,FALSE,,
[admin],en,,Disney,mild,FALSE,FALSE,TRUE,exactMatch,FALSE,TRUE,FALSE,,
[gm],en,,Disney,mild,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,shouldn't be talking about being a gm (moderator or character),
_-u,en,,AsciiArt;Disney,mild,FALSE,FALSE,TRUE,nonEmbeddable,FALSE,TRUE,FALSE,,
a as,en,,Disney;Vulgarity,mild,FALSE,FALSE,TRUE,nonEmbeddable,FALSE,TRUE,FALSE,,
a bad as,en,,Disney;Vulgarity,mild,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
a big as,en,,Bullying;Disney;Sexual,mild,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
a bo nor,en,,Disney;Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
a bore shin,en,,Disney,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
a but pirate,en,,Disney;Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
a chingadazos,es,,Disney;Harm-Abuse,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE, to hit someone,
a fine as,en,,Disney;Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
a fog,en,,Bigotry-Racism;Bullying;Disney,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
a fog it,en,,Bigotry-Racism;Bullying;Disney,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
a great as,en,,Disney;Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
a gum,en,,Disney,mild,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
a hitch,en,,Bullying;Disney,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,bitch,
a huevo,es,,Disney;Vulgarity,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
a jackgrass,en,,Disney;Vulgarity,medium,FALSE,FALSE,FALSE,embeddable,FALSE,FALSE,FALSE,,
a kit,en,,Disney;Sexual,mild,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,kiss,
a more on,en,,Bullying;Disney,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
a my face,en,,Disney;PII,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
a nice as,en,,Disney;Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
a rap is,en,,Disney;Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
a vergazos,en,,Disney,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
a who are,en,,Disney;Vulgarity,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
a who r,en,,Disney;Vulgarity,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
a whole,en,,Disney;Vulgarity,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
a.k.,en,,Vulgarity,medium,FALSE,FALSE,TRUE,embeddable,TRUE,TRUE,FALSE,"Acronym of ""Ass-kisser."" or AK 47 gun.",
aamukanki,fi,,Sexual,high,FALSE,FALSE,TRUE,embeddable,TRUE,TRUE,FALSE,morning wood; erection,
aars,nl,reet,Vulgarity,high,FALSE,FALSE,TRUE,nonEmbeddable,TRUE,TRUE,FALSE,Ass,
aarsmade,nl,,Vulgarity,high,FALSE,FALSE,TRUE,nonEmbeddable,TRUE,TRUE,FALSE,Ass maggot,
